SPECIES_CODE,SCI_NAME,PRIMARY_COM_NAME
strant2,Drymophila_devillei,Striated_Antbird
strant3,Chamaeza_nobilis,Striated_Antthrush
strbri1,Merulaxis_stresemanni,Stresemann's_Bristlefront
strcar1,Phalcoboenus_australis,Striated_Caracara
strcuc1,Tapera_naevia,Striped_Cuckoo
stream1,Trochilus_polytmus,Streamertail
strear1,Geocerthia_serrana,Striated_Earthcreeper
strfan1,Rhipidura_verreauxi,Streaked_Fantail
strfly1,Myiodynastes_maculatus,Streaked_Flycatcher
strher,Butorides_striata,Striated_Heron
strman1,Machaeropterus_regulus,Striped_Manakin
strowl1,Pseudoscops_clamator,Striped_Owl
strpuf1,Nystalus_striolatus,Eastern_Striolated-Puffbird
strsal1,Saltator_striatipectus,Streaked_Saltator
strshe,Calonectris_leucomelas,Streaked_Shearwater
strsof1,Thripophaga_macroura,Striated_Softtail
strspa1,Oriturus_superciliosus,Striped_Sparrow
strtre1,Thripadectes_holostictus,Striped_Treehunter
strtuf1,Pseudocolaptes_boissonneautii,Streaked_Tuftedcheek
strwoo,Picoides_stricklandi,Strickland's_Woodpecker
strwoo1,Automolus_subulatus,Striped_Woodhaunter
strwoo2,Xiphorhynchus_obsoletus,Striped_Woodcreeper
strwoo6,Veniliornis_lignarius,Striped_Woodpecker
strxen1,Xenops_rutilans,Streaked_Xenops
stseag,Haliaeetus_pelagicus,Steller's_Sea-Eagle
sttant1,Rhopias_gularis,Star-throated_Antwren
sttant3,Sipia_berlepschi,Stub-tailed_Antbird
sttant4,Epinecrophylla_pyrrhonota,Fulvous-throated_Antwren
sttant5,Epinecrophylla_haematonota,Rufous-backed_Antwren
sttcan1,Asthenes_humilis,Streak-throated_Canastero
stther1,Phaethornis_rupurumii,Streak-throated_Hermit
stther2,Phaethornis_striigularis,Stripe-throated_Hermit
stthum1,Eupherusa_eximia,Stripe-tailed_Hummingbird
sttspa1,Platyrinchus_cancrominus,Stub-tailed_Spadebill
sttspi1,Leptasthenura_striata,Streaked_Tit-Spinetail
sttspi2,Leptasthenura_striolata,Striolated_Tit-Spinetail
stttyr1,Alectrurus_risora,Strange-tailed_Tyrant
